filepath,label_name,anomaly_probability,predicted_status,alert_message
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4594.jpg,Anomaly,0.9950664,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/non_violence/3875.jpg,Normal,0.92029834,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/3735.jpg,Anomaly,0.7548915,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/5751.jpg,Anomaly,0.988694,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/5175.jpg,Anomaly,0.9041024,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4052.jpg,Anomaly,0.9794937,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/208.jpg,Anomaly,0.8833993,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4147.jpg,Anomaly,0.8790151,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/non_violence/545.jpg,Normal,0.6346702,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/non_violence/438.jpg,Normal,0.659082,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/813.jpg,Anomaly,0.9970469,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/1617.jpg,Anomaly,0.99647695,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4906.jpg,Anomaly,0.993327,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4127.jpg,Anomaly,0.9993932,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/3774.jpg,Anomaly,0.98559266,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/819.jpg,Anomaly,0.9804049,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/341.jpg,Anomaly,0.9999559,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/3430.jpg,Anomaly,0.97056913,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4971.jpg,Anomaly,0.95128465,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/1390.jpg,Anomaly,0.99851304,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4590.jpg,Anomaly,0.9586831,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/3564.jpg,Anomaly,0.99975055,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/734.jpg,Anomaly,0.9609291,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/686.jpg,Anomaly,0.99100167,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4254.jpg,Anomaly,0.99130416,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/5652.jpg,Anomaly,0.97750425,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/1110.jpg,Anomaly,0.9308209,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4204.jpg,Anomaly,0.88422024,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/335.jpg,Anomaly,0.9889908,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/3053.jpg,Anomaly,0.9087078,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/4630.jpg,Anomaly,0.96750456,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
/kaggle/input/datasets/abdulmananraja/real-life-violence-situations/new_violence/violence/2914.jpg,Anomaly,0.85435104,ALERT: Violence Anomaly,Potential violence anomaly detected. Send to security operator for review.
